notebook,framework,dataset,model,n_params,epochs,train_seconds,train_loss,test_accuracy,precision_macro,recall_macro,f1_macro
01_diabetes_brfss,Scratch (NumPy),BRFSS diabetes 2015+2023,MLP 19-128-64-3,11011,15,27.46,0.4134,0.8403412888046653,0.4672995419131743,0.3837670775890622,0.39193055138894867
01_diabetes_brfss,TensorFlow/Keras,BRFSS diabetes 2015+2023,MLP 19-128-64-3,11011,15,41.92,0.4133,0.8402497413785212,0.47027840779787483,0.37676129429669053,0.3822774625116367
01_diabetes_brfss,PyTorch,BRFSS diabetes 2015+2023,MLP 19-128-64-3,11011,15,74.68,0.4133,0.8405610026274112,0.4685999017151328,0.3814444811016229,0.3887975272084989
02_rice_cnn,Scratch (NumPy),Rice (5k subset),SmallCNN 2conv+fc,544453,5,67.26,0.0715,0.9445,0.9481300763280223,0.9450896191391619,0.9444130359711151
02_rice_cnn,TensorFlow/Keras,Rice (5k subset),SmallCNN 2conv+fc,544453,5,5.14,0.0903,0.9545,0.9564035249399101,0.9542172293212834,0.9543734582728189
02_rice_cnn,PyTorch,Rice (5k subset),SmallCNN 2conv+fc,544453,5,1.42,0.0984,0.9475,0.9501313775272535,0.947654209945551,0.9477450214499612
02_rice_cnn,PyTorch,Rice (full),SmallCNN 2conv+fc,544453,5,17.15,0.0337,0.9928666666666667,0.9928743219900893,0.9928666666666667,0.9928660462573108
02_rice_cnn,TensorFlow/Keras,Rice (full),SmallCNN 2conv+fc,544453,5,57.46,0.0244,0.9910666666666667,0.9910940111030643,0.9910666666666668,0.9910620795684542
03_mnist_cnn,Scratch (NumPy),MNIST (10k subset),CNN 2conv+fc,20490,5,42.68,0.0525,0.981,0.9812682250228679,0.9810016112907654,0.9809838726286065
03_mnist_cnn,TensorFlow/Keras,MNIST (10k subset),CNN 2conv+fc,20490,5,6.62,0.0665,0.9755,0.9764554889841515,0.9754081108551901,0.9756283508491439
03_mnist_cnn,PyTorch,MNIST (10k subset),CNN 2conv+fc,20490,5,3.43,0.0653,0.9805,0.9808440655122814,0.9806810294509123,0.9806568531767332
03_mnist_cnn,PyTorch,MNIST (full 60k),CNN 2conv+fc,20490,5,16.48,0.0298,0.9867,0.9866646843360701,0.9866665200243883,0.9866213355994337
03_mnist_cnn,TensorFlow/Keras,MNIST (full 60k),CNN 2conv+fc,20490,5,29.45,0.0275,0.9855,0.9855420243035,0.9854294158836192,0.9854163541645807
