framework,dataset,model,n_params,epochs,train_seconds,train_loss,test_accuracy,precision_macro,recall_macro,f1_macro
Scratch (NumPy),Diabetes 130-US hospitals,MLP 179-128-64-3,31491,15,6.04,0.8237,0.6094040302986995,0.47982546851756824,0.3727903530210504,0.34499540653644506
TensorFlow/Keras,Diabetes 130-US hospitals,MLP 179-128-64-3,31491,15,7.78,0.8174,0.6076890095755324,0.4838966724811331,0.38422290983131074,0.3685920896608068
PyTorch,Diabetes 130-US hospitals,MLP 179-128-64-3,31491,15,9.17,0.8135,0.6105473774474774,0.5128792021096745,0.3859844455687498,0.3694382289752345
Scratch (NumPy),MNIST (10k subset),CNN 2conv+fc,20490,5,36.24,0.0525,0.981,0.9812682250228679,0.9810016112907654,0.9809838726286065
TensorFlow/Keras,MNIST (10k subset),CNN 2conv+fc,20490,5,4.09,0.0665,0.9755,0.9764554889841515,0.9754081108551901,0.9756283508491439
PyTorch,MNIST (10k subset),CNN 2conv+fc,20490,5,1.95,0.0569,0.9835,0.983848504085921,0.9834538289632349,0.9835648613002886
PyTorch,MNIST (full 60k),CNN 2conv+fc,20490,5,9.06,0.0299,0.9875,0.98751518872789,0.9874749013226346,0.9874404812596452
TensorFlow/Keras,MNIST (full 60k),CNN 2conv+fc,20490,5,19.19,0.0275,0.9855,0.9855420243035,0.9854294158836192,0.9854163541645807
Scratch (NumPy),CIFAR-10 (5k subset),SmallCNN,545098,5,65.23,1.0515,0.5055,0.5216222378194161,0.5080091320471123,0.5032447799597594
TensorFlow/Keras,CIFAR-10 (5k subset),SmallCNN,545098,5,9.13,0.7654,0.5485,0.5686988769896414,0.5484632010906803,0.5451758223548817
PyTorch,CIFAR-10 (5k subset),SmallCNN,545098,5,2.08,0.9753,0.5325,0.5649926887252098,0.5380627249677545,0.528841674562024
PyTorch,CIFAR-10 (full 50k),SmallCNN,545098,5,17.3,0.5451,0.7137,0.7178637331022997,0.7137,0.7123229109022813
TensorFlow/Keras,CIFAR-10 (full 50k),SmallCNN,545098,5,70.01,0.5016,0.7043,0.7059162737193939,0.7043,0.6990173252000671
PyTorch,CIFAR-10 (full 50k),M1  Conv+ReLU+Pool,72730,10,552.3,0.8397,0.6947,0.7144,0.6947,0.6956
PyTorch,CIFAR-10 (full 50k),M2  + BatchNorm,72954,10,573.48,0.4489,0.7524,0.7836,0.7524,0.7573
PyTorch,CIFAR-10 (full 50k),M3  + Residual,75786,10,681.64,0.4485,0.7639,0.7917,0.7639,0.7696
PyTorch,CIFAR-10 (full 50k),M4  + Attention(SE),78614,10,766.25,0.4402,0.7367,0.7841,0.7367,0.7468
